228-2500-233,VEX-2 Sprocket Wheel 16 Tooth
228-2500-235,VEX-2 Sprocket Wheel 24 Tooth
228-2500-236,VEX-2 Sprocket Wheel 32 Tooth
228-2500-237,VEX-2 Sprocket Wheel 40 Tooth
228-2500-207,VEX-2 Tire 100 mm Travel 31.8 x 6.3
228-2500-210,VEX-2 Tire 160 mm Travel 50.9 x 18.8
228-2500-209,VEX-2 Tire 200 mm Travel 63.7 x 18.8
228-2500-212,VEX-2 Tire 250 mm Travel 79.6 x 18.8
228-2500-239,VEX-2 Traction Link
228-2500-194,VEX-2 Turntable Large Hub
228-2500-195,VEX-2 Turntable Large Plate
228-2500-191,VEX-2 Turntable Small Hub
228-2500-193,VEX-2 Turntable Small Plate
228-2500-208,VEX-2 Wheel 44 x 18.8
228-2500-211,VEX-2 Wheel 65 x 18.8 - end
